Diện tích,Mức giá,Mặt tiền,Pháp lý,Khu vực,Loại bất động sản,Đường vào,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng,Hướng nhà
62 m²,Thỏa thuận,,Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,,Đầy đủ,,
35 m²,"4,75 tỷ",,Sổ đỏ/ Sổ hồng.,Nam Từ Liêm,Bán đất,,,,,,,
80 m²,"20,5 triệu/m²",,,Thạch Thất,Bán đất,7 m,,,,,,
40 m²,158 triệu/m²,"4,8 m",Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,5 m,,,,,,Nam
78 m²,25 tỷ,8 m,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà mặt phố,,,,,,,
"96,5 m²",33 tỷ,"5,5 m",Hợp đồng mua bán,Tây Hồ,"Nhà biệt thự, liền kề",11 m,Tây,6 phòng,8 phòng,,5 tầng,Tây
80 m²,"4,8 tỷ",,,Cầu Giấy,Căn hộ chung cư,,,3 phòng,,Trang bị full nội thất.,,
79 m²,"16,1 tỷ","4,5 m",Sổ đỏ/ Sổ hồng.,Long Biên,"Shophouse, nhà phố thương mại",6 m,Đông - Bắc,4 phòng,5 phòng,Không nội thất.,5 tầng,Tây - Nam
50 m²,"3,45 tỷ","4,1 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,4 m,,,,,,Đông
"44,5 m²","7,9 tỷ",6 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,2 m,,6 phòng,,,5 tầng,Nam
39 m²,"5,2 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,"2,5 m",,4 phòng,3 phòng,Đầy đủ.,4 tầng,
50 m²,120 triệu/m²,"4,2 m",Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,,,3 phòng,2 phòng,,,
80 m²,145 triệu/m²,,,Đông Anh,Bán đất,,,,,,,
"75,5 m²",Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
75 m²,"4,04 tỷ",,Hợp đồng mua bán,Hoàng Mai,Căn hộ chung cư,,,2 phòng,2 phòng,Cơ bản,,
72 m²,"26,8 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,,,6 phòng,8 phòng,Đầy đủ,8 tầng,
40 m²,"8,85 tỷ",12 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,,,,,Đầy đủ,6 tầng,
83 m²,"5,2 tỷ",,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Đầy đủ,,Tây - Nam
"42,2 m²","1,35 tỷ","4,84 m",Sổ đỏ/ Sổ hồng,Thanh Oai,Bán đất,3 m,,,,,,
97 m²,"16,2 tỷ",6 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,,,20 phòng,,Đầy đủ,7 tầng,
122 m²,"68,5 tỷ",,Sổ đỏ,Cầu Giấy,Nhà mặt phố,,,,,,5 tầng,
256 m²,148 tỷ,5 m,,Tây Hồ,Nhà mặt phố,20 m,Tây - Nam,35 phòng,38 phòng,,9 tầng,Tây - Nam
"159,8 m²",13 tỷ,,,Tây Hồ,Căn hộ chung cư,,Đông,3 phòng,2 phòng,,,Tây
133 m²,"5,3 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,"Đầy đủ - Có sổ, full nội thất.",,Tây - Bắc
71 m²,"4,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
52 m²,92 triệu/m²,,Sổ đỏ/ Sổ hồng,Ba Đình,Căn hộ chung cư,,,1 phòng,,,,
53 m²,"1,48 tỷ","4,4 m",Sổ đỏ/ Sổ hồng,Thường Tín,Bán đất,3 m,,,,,,
70 m²,"3,8 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
59 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Sóc Sơn,Bán đất,,,,,,,
65 m²,"18,95 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,5 phòng,5 phòng,Đầy đủ,5 tầng,Đông - Nam
66 m²,14 tỷ,,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,5 phòng,4 phòng,Đầy đủ.,5 tầng,
"60,8 m²","1,29 tỷ",,,Sơn Tây,Bán đất,,,,,,,
31 m²,"1,66 tỷ",,Sổ đỏ/ Sổ hồng,Gia Lâm,Căn hộ chung cư,,,1 phòng,1 phòng,Đầy đủ,,
180 m²,295 triệu/m²,,Sổ đỏ/ Sổ hồng,Tây Hồ,"Nhà biệt thự, liền kề",,,4 phòng,4 phòng,Đầy đủ,3 tầng,
90 m²,Thỏa thuận,,,Phú Xuyên,Bán đất,,,,,,,
"111,1 m²",145 tỷ,,Sổ đỏ/ Sổ hồng,Hoàn Kiếm,Nhà mặt phố,,,,,,,
120 m²,75 tỷ,5 m,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà mặt phố,12 m,,30 phòng,,Đầy đủ,12 tầng,
"62,29 m²","3,9 tỷ",,HĐMB,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,,Full nội thất.,,
69 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Đống Đa,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
55 m²,"13,4 tỷ",5 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,5 m,,10 phòng,11 phòng,Đầy đủ,6 tầng,
52 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,3 phòng,,,4 tầng,Tây - Bắc
"73,3 m²",62 triệu/m²,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
411 m²,200 triệu/m²,,Sổ đỏ/ Sổ hồng,Hoài Đức,"Nhà biệt thự, liền kề",13 m,,5 phòng,4 phòng,,3 tầng,
95 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Đầy đủ,,Tây - Nam
65 m²,"2,59 tỷ",,Hợp đồng mua bán,Hà Đông,Căn hộ chung cư,,,2 phòng,2 phòng,,,
37 m²,"5,45 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,3 phòng,3 phòng,Đầy đủ,5 tầng,
40 m²,"10,8 tỷ","3,1 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà mặt phố,,,,,Đầy đủ,3 tầng,
400 m²,Thỏa thuận,18 m,Sổ đỏ/ Sổ hồng,Thạch Thất,"Nhà biệt thự, liền kề",12 m,Đông - Nam,4 phòng,4 phòng,,4 tầng,Đông - Nam
"92,8 m²","6,8 tỷ",,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,Nam,3 phòng,2 phòng,"Đầy đủ sàn gỗ, đi lại hệ thống đường điện nước, giường tủ 03 bộ, 03 điều hòa, 02 bình nóng lạnh, tủ bếp và thiết bị bếp, sofa bàn ăn, tivi tủ lạnh máy giặt...",,Bắc
40 m²,"6,79 tỷ",,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,,,,,,4 tầng,
81 m²,115 triệu/m²,,Hợp đồng mua bán,Tây Hồ,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Cơ bản,,Tây - Nam
"232,8 m²",Thỏa thuận,9 m,Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,,,,,,,
138 m²,23 tỷ,5 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,8 m,,6 phòng,5 phòng,Đầy đủ,4 tầng,
98 m²,38 tỷ,75 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,"Nhà biệt thự, liền kề",11 m,Đông - Nam,5 phòng,5 phòng,Đầy đủ,5 tầng,Đông - Nam
77 m²,"2,85 tỷ",,Hợp đồng mua bán,Hoàng Mai,Căn hộ chung cư,,,3 phòng,2 phòng,Nội thất hoàn toàn.,,
60 m²,"2,6 tỷ",,Sổ đỏ/ Sổ hồng,Gia Lâm,Căn hộ chung cư,,,2 phòng,1 phòng,Đầy đủ.,,
1.000 m²,7 tỷ,,,Ứng Hòa,"Kho, nhà xưởng",,,,,,,
54 m²,28 tỷ,"5,5 m",Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,15 m,,,,Cơ bản,3 tầng,
45 m²,"9,2 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,3 m,,4 phòng,,Đầy đủ,4 tầng,
72 m²,"5,2 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Bắc,2 phòng,2 phòng,Đầy đủ,,Tây - Nam
"132,69 m²",Thỏa thuận,"7,5 m",,Hoài Đức,"Nhà biệt thự, liền kề","13,5 m",,,,,,Đông - Nam
86 m²,"20,7 tỷ",75 m,Sổ đỏ/ Sổ hồng,Long Biên,Nhà mặt phố,,,,,,,
80 m²,15 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,Đầy đủ,7 tầng,
"48,9 m²","1,48 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Bán đất,,,,,,,
70 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,,,,Đầy đủ,,
220 m²,85 tỷ,12 m,Đã có sổ đỏ,Tây Hồ,"Nhà biệt thự, liền kề",25 m,Đông - Nam,4 phòng,,Đầy đủ nội thất cao cấp.,4 tầng,Đông - Nam
35 m²,"4,18 tỷ","5,5 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,"2,5 m",Nam,3 phòng,4 phòng,Cơ bản.,5 tầng,Nam
500 m²,47 tỷ,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,,,,,
136 m²,136 triệu/m²,"23,14 m",Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,17 m,,,,,,Tây - Bắc
700 m²,"95,6 tỷ",40 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,,Đông - Nam,,,,,Đông - Nam
"108,63 m²",Thỏa thuận,,Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,,,,,,,
50 m²,20 tỷ,4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà mặt phố,10 m,,4 phòng,4 phòng,Cơ bản,4 tầng,
"41,6 m²",55 triệu/m²,4 m,Đã có sổ đỏ,Thanh Oai,Bán đất,10 m,,,,,,
"74,4 m²",42 triệu/m²,5 m,Sổ đỏ/ Sổ hồng.,Gia Lâm,Bán đất,5 m,,,,,,Đông - Bắc
99 m²,"5,35 tỷ",,Hợp đồng mua bán.,Gia Lâm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Cơ bản.,,
33 m²,"7,8 tỷ",,Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,,,5 phòng,5 phòng,,6 tầng,
109 m²,"8,7 tỷ",,Sổ đỏ/ Sổ hồng,Ba Đình,Căn hộ chung cư,,,2 phòng,2 phòng,,,
55 m²,"3,35 tỷ","3,68 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,"3,5 m",,3 phòng,3 phòng,Cơ bản,3 tầng,
80 m²,20 tỷ,,,Đông Anh,"Shophouse, nhà phố thương mại",,,5 phòng,3 phòng,,,
67 m²,"2,6 tỷ","3,5 m",Sổ đỏ/ Sổ hồng,Chương Mỹ,Bán đất,,,,,,,
72 m²,"7,2 tỷ","7,2 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,,,3 phòng,,,,Đông - Nam
380 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Bắc,6 phòng,4 phòng,,,Đông - Bắc
200 m²,Thỏa thuận,"8,5 m",Sổ đỏ.,Long Biên,Nhà mặt phố,,,,,,4 tầng,
72 m²,"15,5 tỷ","6,68 m",Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà mặt phố,,,1 phòng,1 phòng,,3 tầng,
86 m²,"5,7 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Cơ bản,,
100 m²,"4,95 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
206 m²,39 tỷ,10 m,Hợp đồng mua bán,Hoài Đức,"Nhà biệt thự, liền kề",13 m,Tây,4 phòng,4 phòng,Không nội thất,4 tầng,Tây
,,,,,,,,,,,,
90 m²,"1,12 tỷ",5 m,Sổ đỏ/ Sổ hồng,Sóc Sơn,Bán đất,4 m,,,,,,
110 m²,Thỏa thuận,6 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà mặt phố,40 m,,5 phòng,5 phòng,Đầy đủ,5 tầng,
48 m²,"5,9 tỷ",,,Nam Từ Liêm,Nhà riêng,,,9 phòng,8 phòng,,5 tầng,
30 m²,"1,72 tỷ",,Sổ đỏ/ Sổ hồng.,Gia Lâm,Căn hộ chung cư,,Đông - Bắc,1 phòng,1 phòng,Đầy đủ.,,Tây - Nam
38 m²,11 tỷ,4 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,10 m,,5 phòng,6 phòng,Đầy đủ,7 tầng,
88 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng.,Tây Hồ,Căn hộ chung cư,,,2 phòng,2 phòng,Full đồ.,,
75 m²,"3,45 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ.,,Tây - Bắc
88 m²,50 triệu/m²,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
"91,7 m²","21,45 triệu/m²","7,8 m",Sổ đỏ/ Sổ hồng,Thạch Thất,Bán đất,5 m,,,,,,Tây - Nam
59 m²,3 tỷ,"3,8 m",Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,"2,5 m",,3 phòng,3 phòng,Cơ bản,3 tầng,
105 m²,"4,3 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Đông - Bắc
300 m²,220 tỷ,25 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà mặt phố,,,,,Đầy đủ,8 tầng,
95 m²,66 triệu/m²,,Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,7 m,,,,,,
35 m²,"5,4 tỷ","3,3 m",Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,3 phòng,,Đầy đủ,4 tầng,
100 m²,21 triệu/m²,"4,46 m",Sổ đỏ/ Sổ hồng,Sóc Sơn,Bán đất,4 m,,,,,,Nam
31 m²,"233,33 triệu/m²",8 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà mặt phố,8 m,,2 phòng,2 phòng,Không nội thất,3 tầng,Nam
56 m²,"2,1 tỷ",4 m,Sổ đỏ/ Sổ hồng.,Gia Lâm,Bán đất,4 m,,,,,,
"73,5 m²",5 tỷ,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
30 m²,"10,6 tỷ","3,5 m",Sổ đỏ/ Sổ hồng,Hoàn Kiếm,Nhà riêng,3 m,,2 phòng,3 phòng,Đầy đủ,,
126 m²,"7,9 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Nam,3 phòng,2 phòng,Nội thất đầy đủ. ,,Bắc
48 m²,4 tỷ,5 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,"2,5 m",Đông,4 phòng,3 phòng,Đầy đủ,4 tầng,Đông
35 m²,"4,94 tỷ","3,8 m",Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,4 m,,3 phòng,4 phòng,Đầy đủ.,5 tầng,Đông - Bắc
45 m²,"4,05 tỷ",,,Hoài Đức,Bán đất,4 m,,,,,,
114 m²,Thỏa thuận,,Hợp đồng mua bán,Nam Từ Liêm,Căn hộ chung cư,,,3 phòng,3 phòng,Đầy đủ.,,
122 m²,8 tỷ,,,Thanh Xuân,Căn hộ chung cư,,,3 phòng,2 phòng,,,Đông - Nam
35 m²,"5,58 tỷ","3,5 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,2 m,,3 phòng,4 phòng,Đầy đủ,5 tầng,
100 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Nội thất đẹp mới.,,
2.220 m²,4 triệu/m²,,,Quốc Oai,Bán đất,,,,,,,
,,,,,,,,,,,,
150 m²,32 tỷ,24 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Bán đất,12 m,,,,,,
35 m²,"4,45 tỷ",,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,"2,5 m",,3 phòng,3 phòng,Đầy đủ,4 tầng,
43 m²,16 tỷ,"3,4 m",Sổ đỏ/ Sổ hồng,Long Biên,Nhà mặt phố,40 m,Tây - Bắc,2 phòng,3 phòng,Đầy đủ.,3 tầng,Tây - Bắc
115 m²,49 tỷ,6 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà mặt phố,,,4 phòng,3 phòng,,4 tầng,
34 m²,"7,4 tỷ","3,7 m",Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,4 phòng,4 phòng,Đầy đủ,6 tầng,
72 m²,"5,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Long Biên,Bán đất,,,,,,,
80 m²,32 tỷ,70 m,Sổ đỏ/ Sổ hồng.,Thanh Xuân,Nhà mặt phố,,,12 phòng,12 phòng,,9 tầng,
"57,7 m²","4,25 tỷ",4 m,Sổ đỏ/ Sổ hồng,Gia Lâm,Nhà riêng,,,3 phòng,2 phòng,Đầy đủ,3 tầng,
54 m²,"2,54 tỷ",,Sổ đỏ/ Sổ hồng.,Nam Từ Liêm,Căn hộ chung cư,,,2 phòng,1 phòng,Đầy đủ.,,
78 m²,Thỏa thuận,,,Gia Lâm,Căn hộ chung cư,,,2 phòng,,,,
"75,6 m²","3,19 tỷ",7 m,Sổ đỏ/ Sổ hồng,Thạch Thất,Bán đất,7 m,,,,,,Đông - Nam
35 m²,"7,4 tỷ",,Sổ đỏ,Hai Bà Trưng,Nhà riêng,,,3 phòng,4 phòng,,6 tầng,
54 m²,"19,5 tỷ",5 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,10 phòng,10 phòng,Đầy đủ,6 tầng,
95 m²,18 tỷ,"4,1 m",Sổ đỏ/ Sổ hồng,Hà Đông,Nhà mặt phố,6 m,,5 phòng,4 phòng,Đầy đủ,3 tầng,
40 m²,7 tỷ,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,,,4 phòng,,Đầy đủ,6 tầng,
74 m²,"3,85 tỷ",,Đang chờ sổ,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
100 m²,"12,5 tỷ",5 m,Sổ đỏ/ Sổ hồng.,Long Biên,Bán đất,,,,,,,
100 m²,30 triệu/m²,6 m,Sổ đỏ/ Sổ hồng,Phú Xuyên,Bán đất,7 m,,,,,,Tây - Bắc
60 m²,14 tỷ,,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",,,4 phòng,3 phòng,Đầy đủ,4 tầng,
165 m²,34 tỷ,9 m,Sổ đỏ/ Sổ hồng,Gia Lâm,"Nhà biệt thự, liền kề",20 m,Tây - Bắc,5 phòng,4 phòng,Đầy đủ.,4 tầng,Tây - Bắc
60 m²,Thỏa thuận,5 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,15 m,,10 phòng,9 phòng,Đầy đủ,5 tầng,
91 m²,"3,3 tỷ",,Sổ đỏ/ Sổ hồng,Chương Mỹ,Bán đất,,,,,,,
148 m²,"31,5 tỷ",,Sổ đẹp,Cầu Giấy,Nhà riêng,,,,,,8 tầng,
95 m²,4 tỷ,,Sổ đỏ/ Sổ hồng,Long Biên,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,
98 m²,Thỏa thuận,,,Hoàng Mai,Căn hộ chung cư,,,3 phòng,2 phòng,,,
48 m²,"11,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà mặt phố,,Tây - Bắc,4 phòng,4 phòng,Đầy đủ,4 tầng,Đông - Nam
55 m²,"16,3 tỷ","5,1 m",Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà riêng,8 m,,4 phòng,4 phòng,Đầy đủ,5 tầng,
40 m²,"4,99 tỷ","3,7 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Nhà riêng,"3,8 m",Đông - Nam,5 phòng,4 phòng,Cơ bản,5 tầng,Đông - Nam
82 m²,Thỏa thuận,"5,6 m",Sổ đỏ/ Sổ hồng,Chương Mỹ,Bán đất,8 m,,,,,,
45 m²,"7,95 tỷ",,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà riêng,,,5 phòng,,Đầy đủ,6 tầng,
70 m²,63 triệu/m²,,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,,2 phòng,,Cơ bản,,
62 m²,"9,5 tỷ",10 m,Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,,4 phòng,3 phòng,,4 tầng,
99 m²,"7,2 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
110 m²,"18,6 tỷ",6 m,Sổ đỏ/ Sổ hồng,Long Biên,Nhà riêng,6 m,,3 phòng,2 phòng,Không nội thất,2 tầng,
108 m²,74 tỷ,5 m,Sổ đỏ/ Sổ hồng,Hai Bà Trưng,Nhà mặt phố,,,,,Đầy đủ,9 tầng,
996 m²,Thỏa thuận,17 m,Sổ đỏ/ Sổ hồng,Quốc Oai,Bán đất,12 m,,,,,,
52 m²,"5,2 tỷ",,,Long Biên,Bán đất,,,,,,,
"45,8 m²","13,6 tỷ","4,8 m",Sổ đỏ/ Sổ hồng,Ba Đình,Nhà riêng,,Nam,,,Đầy đủ,4 tầng,Nam
45 m²,Thỏa thuận,4 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,3 m,,6 phòng,,Cơ bản,4 tầng,
57 m²,"15,8 tỷ","12,6 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,"2,5 m",,15 phòng,15 phòng,Đầy đủ,7 tầng,
39 m²,"19,9 tỷ","3,2 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà mặt phố,24 m,,3 phòng,4 phòng,,5 tầng,
60 m²,"9,3 tỷ",4 m,Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,13 m,,,,,,Đông - Nam
98 m²,"7,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
104 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hà Đông,"Nhà biệt thự, liền kề",40 m,Đông - Nam,,,Đầy đủ,,Đông - Nam
"71,2 m²","5,2 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Xuân,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,
46 m²,"1,75 tỷ",,Hợp đồng mua bán,Hoàng Mai,Căn hộ chung cư,,,2 phòng,1 phòng,Đầy đủ,,
52 m²,8 tỷ,,Đang chờ sổ,Thanh Xuân,"Shophouse, nhà phố thương mại",,,,,Cơ bản,,Đông - Nam
52 m²,"9,95 tỷ","3,6 m",Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,Đầy đủ,5 tầng,
70 m²,Thỏa thuận,,Full nội thất,Hà Đông,Căn hộ chung cư,,,2 phòng,2 phòng,Full nội thất.,,
"77,3 m²","13,3 tỷ",6 m,Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,8 m,,,,,,Đông - Bắc
44 m²,"11,95 tỷ",4 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,6 m,,4 phòng,3 phòng,Đầy đủ,4 tầng,
30 m²,"5,4 tỷ",4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà mặt phố,7 m,Nam,1 phòng,1 phòng,Đầy đủ,2 tầng,Đông - Bắc
"104,5 m²",90 triệu/m²,"4,5 m",,Đông Anh,Bán đất,12 m,,,,,,Bắc
220 m²,81 tỷ,10 m,,Tây Hồ,"Nhà biệt thự, liền kề",,,5 phòng,3 phòng,Hoàn thiện nội thất.,3 tầng,Đông - Nam
43 m²,7 tỷ,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,6 phòng,4 phòng,Đầy đủ,5 tầng,
115 m²,17 tỷ,,Sổ đỏ/ Sổ hồng,Ba Đình,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Tây - Bắc
60 m²,"5,7 tỷ",,Sổ đỏ/ Sổ hồng.,Hoàng Mai,Bán đất,,,,,,,
210 m²,"12,9 tỷ",,Đang chờ sổ,Mê Linh,Đất nền dự án,,,,,,,
109 m²,Thỏa thuận,,Sổ đỏ,Hà Đông,"Shophouse, nhà phố thương mại",,,,,Full nội thất.,7 tầng,
216 m²,98 tỷ,9 m,Sổ đỏ/ Sổ hồng,Đống Đa,Nhà mặt phố,,,10 phòng,15 phòng,Đầy đủ,9 tầng,
106 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Nam,3 phòng,2 phòng,Đầy đủ,,Bắc
355 m²,"3,6 tỷ",20 m,Sổ đỏ/ Sổ hồng,Chương Mỹ,Bán đất,7 m,,,,,,Đông - Nam
60 m²,999 triệu,5 m,Sổ đỏ/ Sổ hồng,Sóc Sơn,Bán đất,6 m,,,,,,Đông - Nam
98 m²,Thỏa thuận,"14,7 m",Sổ đỏ,Long Biên,Bán đất,42 m,,,,,,
48 m²,"2,44 tỷ",,,Gia Lâm,Căn hộ chung cư,,Đông - Bắc,1 phòng,,,,Đông - Nam
77 m²,155 triệu/m²,"3,8 m",Sổ đỏ/ Sổ hồng,Long Biên,Bán đất,18 m,,,,,,Tây - Bắc
90 m²,"25,1 tỷ",,,Long Biên,"Nhà biệt thự, liền kề",,,,,,4 tầng,
229 m²,"5,25 tỷ",12 m,Sổ đỏ/ Sổ hồng,Sóc Sơn,Bán đất,10 m,,,,,,
80 m²,16 tỷ,8 m,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,8 m,,4 phòng,5 phòng,Đầy đủ,6 tầng,
40 m²,Thỏa thuận,4 m,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,7 m,,6 phòng,6 phòng,,7 tầng,
